Time(ms),Ax(g),Ay(g),Az(g)
156267,0.021,-0.833,-0.339
156468,-1.060,0.318,-0.124
156669,-1.980,2.000,1.970
156870,-1.980,2.000,1.970
157071,-1.980,1.917,1.970
157272,-0.986,0.532,1.684
157473,0.707,-0.575,1.025
157674,0.831,0.861,0.047
157875,0.860,1.815,0.257
158076,0.693,-0.268,-0.661
158277,1.215,-2.000,0.157
158478,1.034,-2.000,0.550
158679,1.280,-2.000,0.685
158880,0.920,-0.246,1.452
159081,-0.319,1.031,1.970
159282,0.021,-0.779,1.970
159483,1.256,-1.988,1.882
159684,1.544,1.085,0.903
159885,0.989,0.547,0.074
160086,0.638,-0.000,0.543
160287,0.753,-0.497,-0.110
160488,0.896,-0.184,-0.223
160689,0.771,-0.894,-0.506
160890,0.665,-0.504,-0.387
161091,-0.876,-0.938,-0.047
161292,-1.794,1.258,1.889
161493,-1.980,2.000,1.970
161694,-1.980,1.252,1.970
161895,0.393,-0.230,1.300
162096,0.694,0.004,0.052
162297,1.099,2.000,0.572
162498,0.640,0.679,-0.531
162699,1.331,-1.726,0.220
162900,1.298,-1.927,0.150
163101,1.272,-2.000,0.162
163302,1.060,-0.845,1.268
163503,-0.130,0.236,1.321
163704,0.165,0.489,1.970
163905,0.668,-2.000,1.970
164106,1.684,0.359,1.004
164307,0.881,1.141,0.424
164508,0.872,0.109,0.140
164709,1.014,-0.242,-0.082
164910,0.721,-0.169,-0.435
165111,0.642,-0.730,-0.296
165312,0.575,-1.118,-0.526
165513,-0.294,-0.591,-0.276
165714,-1.246,1.417,1.206
165915,-1.980,2.000,1.970
166116,-1.980,1.778,1.970
166317,0.509,0.024,0.951
166518,0.612,-0.082,-0.086
166719,1.321,1.951,0.314
166920,0.309,1.238,0.173
167121,0.757,-1.520,0.091
167322,1.108,-1.614,0.915
167524,0.419,0.979,1.453
167725,-0.310,0.223,1.970
167926,0.054,-0.792,1.799
168127,0.849,-2.000,1.970
168328,1.377,0.554,1.326
168529,1.508,0.717,0.918
168730,0.615,0.833,0.139
168931,0.919,0.137,-0.020
169132,0.802,-0.176,-0.324
169333,0.799,-0.097,0.018
169534,-0.322,-1.390,-0.301
169735,-1.149,1.116,0.898
169936,-1.980,2.000,1.970
170137,-1.980,1.407,1.970
170338,-1.632,0.207,1.970
170539,0.924,-0.909,0.430
170740,1.259,1.271,0.312
170941,0.677,2.000,0.170
171142,0.666,2.000,-0.110
171343,0.110,-1.764,0.245
171544,1.234,-2.000,0.746
171745,0.956,-1.097,0.981
171946,0.041,0.839,1.372
172147,-0.102,-1.092,1.801
172348,0.377,-1.591,1.970
172549,1.198,-0.288,1.970
172750,0.935,0.653,1.068
172951,0.458,0.517,0.430
173152,0.886,-0.164,-0.109
173353,0.691,-0.119,-0.575
